#num,date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,name
78,2020-05-08,1322163,0,223749,78616,0,0,29313,,6499,1678,,,0.0,美国
79,2020-05-09,1346339,0,236825,80004,0,0,24176,,13076,1388,,,0.0,美国
80,2020-05-10,1367638,0,256336,80787,0,0,21299,,19511,783,,,0.0,美国
81,2020-05-11,1385834,0,262225,81795,0,0,18196,,5889,1008,,,0.0,美国
82,2020-05-12,1408039,0,280509,83366,0,0,22205,,18284,1571,,,0.0,美国
83,2020-05-13,1430348,0,310259,85197,0,0,22309,,29750,1831,,,0.0,美国
84,2020-05-14,1456745,0,317988,86900,0,0,26397,,7729,1703,,,0.0,美国
85,2020-05-15,1483989,0,326185,88485,0,0,27244,,8197,1585,,,0.0,美国
86,2020-05-16,1507837,0,339572,90119,0,0,23848,,13387,1634,,,0.0,美国
87,2020-05-17,1527664,0,346389,90978,0,0,19827,,6817,859,,,0.0,美国
88,2020-05-18,1548832,0,354313,91873,0,0,21168,,7924,895,,,0.0,美国
89,2020-05-19,1570075,0,363063,93501,0,0,21243,,8750,1628,,,0.0,美国
90,2020-05-20,1591531,0,370812,94904,0,0,21456,,7749,1403,,,0.0,美国
91,2020-05-21,1620458,0,382165,96295,0,0,28927,,11353,1391,,,0.0,美国
92,2020-05-22,1645009,0,426807,97634,0,0,24551,,44642,1339,,,0.0,美国
93,2020-05-23,1666828,0,446866,98683,0,0,21819,,20059,1049,,,0.0,美国
94,2020-05-24,1686454,0,451702,99300,0,0,19626,0.0,4836,617,0.0,,0.0,美国
95,2020-05-25,1706226,0,464670,99805,0,0,19772,,12968,505,,,0.0,美国
96,2020-05-26,1725275,0,479969,100579,0,0,19049,,15299,774,,,0.0,美国
97,2020-05-27,1745803,0,490130,102107,0,0,20528,,10161,1528,,,0.0,美国
98,2020-05-28,1768461,0,498725,103330,0,0,22658,,8595,1223,,,0.0,美国
99,2020-05-29,1793530,0,519569,104542,0,0,25069,,20844,1212,,,0.0,美国
100,2020-05-30,1816820,0,535238,105557,0,0,23290,,15669,1015,,,0.0,美国
101,2020-05-31,1837170,0,599867,106195,0,0,20350,0.0,64629,638,0.0,,0.0,美国
102,2020-06-01,1859323,0,615416,106925,0,0,22153,,15549,730,,,0.0,美国
103,2020-06-02,1881205,0,645974,108059,0,0,21882,,30558,1134,,,0.0,美国
104,2020-06-03,1901783,0,688670,109142,0,0,20578,,42696,1083,,,0.0,美国
105,2020-06-04,1935387,0,712252,110173,0,0,33604,,23582,1031,,,0.0,美国
106,2020-06-05,1965708,0,738646,111390,0,0,30321,,26394,1217,,,0.0,美国
107,2020-06-06,1988544,0,751894,112096,0,0,22836,,13248,706,,,0.0,美国
108,2020-06-07,2007449,0,761708,112469,0,0,18905,,9814,373,,,0.0,美国
109,2020-06-08,2026494,0,773480,113055,0,0,19045,,11772,586,,,0.0,美国
110,2020-06-09,2045549,0,788862,114148,0,0,19055,,15382,1093,,,0.0,美国
111,2020-06-10,2066401,0,808494,115130,0,0,20852,,19632,982,,,0.0,美国
112,2020-06-11,2089701,0,816086,116034,0,0,23300,,7592,904,,,0.0,美国
113,2020-06-12,2116922,0,841934,116825,0,0,27221,,25848,791,,,0.0,美国
114,2020-06-13,2142224,0,854106,117527,0,0,25302,,12172,702,,,0.0,美国
115,2020-06-14,2162228,0,870050,117858,0,0,20004,,15944,331,,,0.0,美国
116,2020-06-15,2170650,0,878046,118161,0,0,8422,,7996,303,,,0.0,美国
